s
# Pick a controller to configure
# CONTROLLERS:
#   m                    Manual
#   t               Turbidostat
#   r         Turbidostat Ratio
#   g  Turbidostat Mix Gradient
#   c     Turbidostat Mix Cycle
# Pick a controller: t=Turbidostat
# Current settings:
# Pump on @ 40.950
# Pump off @ 0.000
# Pump A
# Hit return to leave a parameter unchanged
# Enter pump on (high) measurement(40.950): 6.1
# Enter pump off (low) measurement(0.000): 6.0
# Enter media pump (A): *
# (not updated)
# Current settings:
# Pump on @ 6.100
# Pump off @ 6.000
# Pump A
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
T	23	0.303	2	0	815.278
T	24	0.350	2	0	815.278
T	25	0.342	2	0	815.278
T	26	0.269	2	0	815.278
T	27	0.306	2	0	815.278
T	28	0.334	2	0	815.278
T	29	0.291	2	0	815.278
T	30	0.302	2	0	815.278
T	31	0.295	2	0	815.278
T	32	0.230	2	0	815.278
T	33	0.341	2	0	815.278
T	34	0.309	2	0	815.278
T	35	0.416	2	0	815.278
T	36	0.264	2	0	815.278
T	37	0.351	2	0	815.278
T	38	0.315	2	0	815.278
T	39	0.365	2	0	815.278
T	40	0.347	2	0	815.278
T	41	0.291	2	0	815.278
T	42	0.339	2	0	815.278
T	43	0.260	2	0	815.278
T	44	0.384	2	0	815.278
T	45	0.364	2	0	815.278
T	46	0.358	2	0	815.278
T	47	0.294	2	0	815.278
T	48	0.260	2	0	815.278
T	49	0.301	2	0	815.278
T	50	0.359	2	0	815.278
T	51	0.292	2	0	815.278
T	52	0.311	2	0	815.278
T	53	0.277	2	0	815.278
T	54	0.265	2	0	815.278
T	55	0.299	2	0	815.278
T	56	0.289	2	0	815.278
T	57	0.333	2	0	815.278
T	58	0.371	2	0	815.278
T	59	0.296	2	0	815.278
T	60	0.348	2	0	815.278
T	61	0.278	2	0	815.278
T	62	0.362	2	0	815.278
T	63	0.317	2	0	815.278
T	64	0.339	2	0	815.278
T	65	0.285	2	0	815.278
T	66	0.275	2	0	815.278
T	67	0.322	2	0	815.278
T	68	0.317	2	0	815.278
T	69	0.254	2	0	815.278
T	70	0.398	2	0	815.278
T	71	0.272	2	0	815.278
T	72	0.306	2	0	815.278
T	73	0.272	2	0	815.278
T	74	0.267	2	0	815.278
T	75	0.298	2	0	815.278
T	76	0.316	2	0	815.278
T	77	0.304	2	0	815.278
T	78	0.270	2	0	815.278
T	79	0.270	2	0	815.278
T	80	0.299	2	0	815.278
T	81	0.254	2	0	815.278
T	82	0.375	2	0	815.278
T	83	0.328	2	0	815.278
T	84	0.363	2	0	815.278
T	85	0.319	2	0	815.278
T	86	0.267	2	0	815.278
T	87	0.358	2	0	815.278
T	88	0.371	2	0	815.278
T	89	0.365	2	0	815.278
T	90	0.300	2	0	815.278
T	91	0.408	2	0	815.278
T	92	0.370	2	0	815.278
T	93	0.371	2	0	815.278
T	94	0.368	2	0	815.278
T	95	0.356	2	0	815.278
T	96	0.353	2	0	815.278
T	97	0.325	2	0	815.278
T	98	0.345	2	0	815.278
T	99	0.320	2	0	815.278
T	100	0.349	2	0	815.278
T	101	0.258	2	0	815.278
T	102	0.334	2	0	815.278
T	103	0.320	2	0	815.278
T	104	0.310	2	0	815.278
T	105	0.278	2	0	815.278
T	106	0.299	2	0	815.278
T	107	0.269	2	0	815.278
T	108	0.324	2	0	815.278
T	109	0.272	2	0	815.278
T	110	0.401	2	0	815.278
T	111	0.358	2	0	815.278
T	112	0.294	2	0	815.278
T	113	0.329	2	0	815.278
T	114	0.308	2	0	815.278
T	115	0.272	2	0	815.278
T	116	0.306	2	0	815.278
T	117	0.363	2	0	815.278
T	118	0.234	2	0	815.278
T	119	0.306	2	0	815.278
T	120	0.298	2	0	815.278
T	121	0.356	2	0	815.278
T	122	0.358	2	0	815.278
T	123	0.327	2	0	815.278
T	124	0.281	2	0	815.278
T	125	0.256	2	0	815.278
T	126	0.242	2	0	815.278
T	127	0.273	2	0	815.278
T	128	0.347	2	0	815.278
T	129	0.358	2	0	815.278
T	130	0.308	2	0	815.278
T	131	0.314	2	0	815.278
T	132	0.307	2	0	815.278
T	133	0.258	2	0	815.278
T	134	0.275	2	0	815.278
T	135	0.283	2	0	815.278
T	136	0.259	2	0	815.278
T	137	0.323	2	0	815.278
T	138	0.287	2	0	815.278
T	139	0.308	2	0	815.278
T	140	0.322	2	0	815.278
T	141	0.284	2	0	815.278
T	142	0.332	2	0	815.278
T	143	0.336	2	0	815.278
T	144	0.283	2	0	815.278
T	145	0.367	2	0	815.278
T	146	0.264	2	0	815.278
T	147	0.390	2	0	815.278
T	148	0.341	2	0	815.278
T	149	0.365	2	0	815.278
T	150	0.277	2	0	815.278
T	151	0.337	2	0	815.278
T	152	0.282	2	0	815.278
T	153	0.326	2	0	815.278
T	154	0.389	2	0	815.278
T	155	0.295	2	0	815.278
T	156	0.322	2	0	815.278
T	157	0.300	2	0	815.278
T	158	0.377	2	0	815.278
T	159	0.389	2	0	815.278
T	160	0.353	2	0	815.278
T	161	0.388	2	0	815.278
T	162	0.332	2	0	815.278
T	163	0.331	2	0	815.278
T	164	0.376	2	0	815.278
T	165	0.279	2	0	815.278
T	166	0.297	2	0	815.278
T	167	0.262	2	0	815.278
T	168	0.249	2	0	815.278
T	169	0.360	2	0	815.278
T	170	0.325	2	0	815.278
T	171	0.317	2	0	815.278
T	172	0.402	2	0	815.278
T	173	0.383	2	0	815.278
T	174	0.300	2	0	815.278
T	175	0.363	2	0	815.278
T	176	0.267	2	0	815.278
T	177	0.386	2	0	815.278
T	178	0.354	2	0	815.278
T	179	0.367	2	0	815.278
T	180	0.357	2	0	815.278
T	181	0.292	2	0	815.278
T	182	0.346	2	0	815.278
T	183	0.351	2	0	815.278
T	184	0.362	2	0	815.278
T	185	0.361	2	0	815.278
T	186	0.390	2	0	815.278
T	187	0.372	2	0	815.278
T	188	0.350	2	0	815.278
T	189	0.345	2	0	815.278
T	190	0.267	2	0	815.278
T	191	0.341	2	0	815.278
T	192	0.317	2	0	815.278
T	193	0.270	2	0	815.278
T	194	0.371	2	0	815.278
T	195	0.323	2	0	815.278
T	196	0.296	2	0	815.278
T	197	0.366	2	0	815.278
T	198	0.285	2	0	815.278
T	199	0.323	2	0	815.278
T	200	0.305	2	0	815.278
T	201	0.283	2	0	815.278
T	202	0.389	2	0	815.278
T	203	0.319	2	0	815.278
T	204	0.354	2	0	815.278
T	205	0.314	2	0	815.278
T	206	0.308	2	0	815.278
T	207	0.360	2	0	815.278
