# band-dsp-teensy manual [acghmpsz] > g
# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 3
# Current settings:
# Gain setting 5x (3)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	399.9	 1.707	5
M	400.4	 1.647	5
M	400.9	 1.826	5
M	401.4	 1.994	5
M	401.9	 1.762	5
M	402.4	 1.948	5
M	402.9	 1.703	5
M	403.4	 1.856	5
M	403.9	 1.716	5
M	404.4	 1.693	5
M	404.9	 1.686	5
M	405.4	 1.661	5
M	405.9	 1.483	5
M	406.4	 1.778	5
M	406.9	 1.780	5
M	407.4	 1.631	5
M	407.9	 1.974	5
M	408.4	 2.039	5
M	408.9	 1.793	5
M	409.4	 1.862	5
M	409.9	 1.721	5
M	410.4	 1.820	5
M	410.9	 1.827	5
M	411.4	 1.702	5
M	411.9	 1.744	5
M	412.4	 1.575	5
M	412.9	 1.806	5
M	413.5	 1.910	5
M	414.0	 2.114	5
M	414.5	 1.690	5
M	415.0	 1.854	5
M	415.5	 2.058	5
M	416.0	 1.632	5
M	416.5	 1.517	5
M	417.0	 1.585	5
M	417.5	 1.736	5
M	418.0	 1.815	5
M	418.5	 1.832	5
M	419.0	 1.851	5
M	419.5	 1.598	5
M	420.0	 1.783	5
M	420.5	 1.927	5
M	421.0	 1.864	5
M	421.5	 1.816	5
M	422.0	 1.957	5
M	422.5	 1.741	5
M	423.0	 1.693	5
M	423.5	 1.678	5
M	424.0	 1.918	5
M	424.5	 1.868	5
M	425.0	 1.816	5
M	425.5	 1.687	5
M	426.0	 1.590	5
M	426.5	 2.042	5
M	427.0	 1.930	5
M	427.5	 1.748	5
M	428.0	 1.714	5
M	428.5	 1.643	5
M	429.0	 1.848	5
M	429.5	 1.864	5
M	430.0	 2.005	5
M	430.5	 2.049	5
M	431.0	 2.008	5
M	431.5	 1.734	5
M	432.0	 1.923	5
M	432.5	 1.944	5
M	433.0	 2.083	5
M	433.5	 2.166	5
M	434.0	 1.752	5
M	434.5	 1.988	5
M	435.0	 1.954	5
M	435.5	 2.055	5
M	436.0	 2.072	5
M	436.5	 1.771	5
M	437.0	 1.892	5
M	437.5	 1.948	5
M	438.0	 1.977	5
M	438.6	 2.246	5
M	439.1	 2.110	5
M	439.6	 1.746	5
M	440.1	 2.069	5
M	440.6	 2.079	5
M	441.1	 1.865	5
M	441.6	 1.839	5
M	442.1	 1.889	5
M	442.6	 2.078	5
M	443.1	 1.937	5
M	443.6	 2.219	5
M	444.1	 2.981	5
M	444.6	 2.278	5
M	445.1	 2.342	5
M	445.6	 2.378	5
M	446.1	 2.477	5
M	446.6	 2.379	5
M	447.1	 2.358	5
M	447.6	 2.610	5
M	448.1	 6.766	5
M	448.6	 9.739	5
M	449.1	 6.851	5
M	449.6	 7.690	5
M	450.1	 7.182	5
# band-dsp-teensy manual [acghmpsz] > a
# NOTE: Before this started to add 1 ml high density yeast stop no-media data at 400
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	512.7	 3.271	5
M	513.2	 3.329	5
M	513.7	 3.632	5
M	514.2	 3.524	5
M	514.7	 3.404	5
M	515.2	 3.606	5
M	515.7	 3.543	5
M	516.2	 3.404	5
M	516.7	 3.380	5
M	517.2	 3.518	5
M	517.7	 3.490	5
M	518.2	 3.544	5
M	518.7	 3.404	5
M	519.2	 3.149	5
M	519.7	 3.559	5
M	520.2	 3.584	5
M	520.7	 3.575	5
M	521.2	 3.087	5
M	521.7	 3.261	5
M	522.2	 3.078	5
M	522.7	 3.072	5
M	523.2	 2.899	5
M	523.7	 3.178	5
M	524.2	 3.408	5
M	524.7	 3.466	5
M	525.2	 3.356	5
M	525.7	 3.386	5
M	526.3	 3.417	5
M	526.8	 3.249	5
M	527.3	 3.062	5
M	527.8	 3.156	5
M	528.3	 3.092	5
M	528.8	 3.170	5
M	529.3	 2.904	5
M	529.8	 3.025	5
M	530.3	 2.897	5
M	530.8	 2.925	5
M	531.3	 3.637	5
M	531.8	 3.231	5
M	532.3	 3.860	5
M	532.8	 3.719	5
M	533.3	 3.044	5
M	533.8	 3.045	5
M	534.3	 2.902	5
M	534.8	 2.915	5
M	535.3	 3.131	5
M	535.8	 3.499	5
M	536.3	 2.950	5
M	536.8	 3.391	5
M	537.3	 3.221	5
M	537.8	 3.492	5
M	538.3	 3.034	5
M	538.8	 3.151	5
M	539.3	 3.054	5
M	539.8	 3.367	5
M	540.3	 2.983	5
M	540.8	 2.833	5
M	541.3	 3.106	5
M	541.8	 2.864	5
M	542.3	 2.806	5
M	542.8	 2.937	5
M	543.3	 3.041	5
M	543.8	 3.305	5
M	544.3	 3.048	5
M	544.8	 2.650	5
M	545.3	 2.825	5
M	545.8	 3.017	5
M	546.3	 2.917	5
M	546.8	 2.826	5
M	547.3	 2.888	5
M	547.8	 2.868	5
M	548.3	 2.975	5
M	548.8	 3.150	5
M	549.3	 2.753	5
M	549.8	 3.352	5
M	550.3	 3.292	5
M	550.8	 3.053	5
M	551.4	 3.062	5
M	551.9	 2.693	5
M	552.4	 2.854	5
M	552.9	 2.752	5
M	553.4	 3.077	5
M	553.9	 3.041	5
M	554.4	 3.236	5
M	554.9	 3.014	5
M	555.4	 2.807	5
M	555.9	 3.060	5
M	556.4	 3.065	5
M	556.9	 2.980	5
M	557.4	 2.792	5
M	557.9	 2.965	5
M	558.4	 3.042	5
M	558.9	 3.087	5
M	559.4	 3.101	5
M	559.9	 3.194	5
M	560.4	 2.980	5
M	560.9	 2.845	5
M	561.4	 3.008	5
M	561.9	 3.221	5
M	562.4	 3.347	5
M	562.9	 3.260	5
M	563.4	 3.201	5
M	563.9	 2.818	5
M	564.4	 3.459	5
M	564.9	 3.253	5
M	565.4	 3.741	5
M	565.9	 3.156	5
M	566.4	 3.471	5
M	566.9	 3.490	5
M	567.4	 3.577	5
M	567.9	 3.779	5
M	568.4	 3.440	5
M	568.9	 3.720	5
M	569.4	 3.756	5
M	569.9	 3.521	5
M	570.4	 3.513	5
M	570.9	 3.402	5
M	571.4	 3.144	5
M	571.9	 3.479	5
M	572.4	 3.569	5
M	572.9	 3.331	5
M	573.4	 3.348	5
M	573.9	 3.305	5
M	574.4	 3.797	5
M	574.9	 3.569	5
M	575.4	 3.749	5
M	575.9	 3.645	5
M	576.5	 3.564	5
M	577.0	 3.353	5
M	577.5	 3.308	5
M	578.0	 3.287	5
M	578.5	 3.398	5
M	579.0	 3.455	5
M	579.5	 3.404	5
M	580.0	 3.109	5
M	580.5	 3.749	5
M	581.0	 3.398	5
M	581.5	 3.260	5
M	582.0	 3.718	5
