# Current settings:
# Gain setting 2x (1)
# Hit return to leave a parameter unchanged
# Enter Nephelometer setting (1): 
# (not updated)
# Current settings:
# Gain setting 2x (1)
# band-dsp-teensy manual [acghmpsz] > m
M	time.s	neph	gain
M	212.2	 0.666	2
M	212.7	 0.666	2
M	213.2	 0.694	2
M	213.7	 0.665	2
M	214.2	 0.745	2
M	214.7	 0.694	2
M	215.2	 0.822	2
M	215.7	 0.711	2
M	216.2	 0.778	2
M	216.7	 0.661	2
M	217.2	 0.720	2
M	217.7	 0.782	2
M	218.2	 0.789	2
M	218.7	 0.656	2
M	219.2	 0.778	2
M	219.7	 0.650	2
M	220.2	 0.727	2
M	220.7	 0.760	2
M	221.2	 0.640	2
M	221.7	 0.727	2
M	222.2	 0.749	2
M	222.7	 0.643	2
M	223.2	 0.684	2
M	223.7	 0.686	2
M	224.2	 0.810	2
M	224.7	 0.694	2
M	225.2	 0.732	2
M	225.8	 0.769	2
M	226.3	 0.806	2
M	226.8	 0.683	2
M	227.3	 0.751	2
M	227.8	 0.722	2
M	228.3	 0.678	2
M	228.8	 0.733	2
M	229.3	 0.782	2
M	229.8	 0.678	2
M	230.3	 0.686	2
M	230.8	 0.824	2
M	231.3	 0.738	2
M	231.8	 0.675	2
M	232.3	 0.807	2
M	232.8	 0.788	2
M	233.3	 0.667	2
M	233.8	 0.743	2
M	234.3	 0.715	2
M	234.8	 0.655	2
M	235.3	 0.702	2
M	235.8	 0.690	2
M	236.3	 0.777	2
M	236.8	 0.772	2
M	237.3	 0.725	2
M	237.8	 0.632	2
M	238.3	 0.721	2
M	238.8	 0.665	2
M	239.3	 0.810	2
M	239.8	 0.732	2
M	240.3	 0.693	2
M	240.8	 0.726	2
M	241.3	 0.782	2
M	241.8	 0.644	2
M	242.3	 0.824	2
M	242.8	 0.805	2
M	243.3	 0.764	2
M	243.8	 0.664	2
M	244.3	 0.693	2
M	244.8	 0.773	2
M	245.3	 0.675	2
M	245.8	 0.777	2
M	246.3	 0.744	2
M	246.8	 0.812	2
M	247.3	 0.725	2
M	247.8	 0.792	2
M	248.3	 0.748	2
M	248.8	 0.687	2
M	249.3	 0.790	2
M	249.8	 0.738	2
M	250.3	 0.643	2
M	250.9	 0.720	2
M	251.4	 0.667	2
M	251.9	 0.655	2
M	252.4	 0.709	2
M	252.9	 0.764	2
M	253.4	 0.753	2
M	253.9	 0.690	2
M	254.4	 0.776	2
M	254.9	 0.696	2
M	255.4	 0.747	2
M	255.9	 0.692	2
M	256.4	 0.656	2
M	256.9	 0.824	2
M	257.4	 0.635	2
M	257.9	 0.697	2
M	258.4	 0.768	2
M	258.9	 0.732	2
M	259.4	 0.704	2
